"State","Year","Month","Period","Indicator","Data Value","Percent Complete","Percent Pending Investigation","State Name","Footnote","Footnote Symbol","Predicted Value"
"OK","2017","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","287","100","0.005090872","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","287"
"OK","2017","December","12 month-ending","Psychostimulants with abuse potential (T43.6)","278","100","0.005086729","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","278"
"OK","2018","January","12 month-ending","Psychostimulants with abuse potential (T43.6)","276","100","0.005021089","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","276"
"OK","2018","February","12 month-ending","Psychostimulants with abuse potential (T43.6)","276","100","0.010007756","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","276"
"OK","2018","March","12 month-ending","Psychostimulants with abuse potential (T43.6)","287","100","0.01503458","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","287"
"OK","2018","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","284","100","0.017518394","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","284"
"OK","2018","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","299","100","0.024956326","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","299"
"OK","2018","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","304","100","0.027425266","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","304"
"OK","2018","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","298","100","0.027522018","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","298"
"OK","2018","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","302","100","0.032472398","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","302"
"OK","2018","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","303","100","0.035081565","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","303"
"OK","2018","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","312","100","0.047501188","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","312"
"OK","2018","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","322","100","0.059895183","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","322"
"OK","2018","December","12 month-ending","Psychostimulants with abuse potential (T43.6)","327","100","0.072725449","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","327"
"OK","2019","January","12 month-ending","Psychostimulants with abuse potential (T43.6)","321","100","0.073791349","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","321"
"OK","2019","February","12 month-ending","Psychostimulants with abuse potential (T43.6)","314","100","0.071574642","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","314"
"OK","2019","March","12 month-ending","Psychostimulants with abuse potential (T43.6)","306","100","0.068580137","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","306"
"OK","2019","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","313","100","0.06861325","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","313"
